date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
97年 7月,7967,4454,3618,4347,3034,5630,654,932,776,1847,922,892,650,1470,179,566,70,571,721,527,32,17
97年 8月,7583,4646,3309,4596,3152,6227,644,917,894,1784,839,944,581,1101,167,570,64,604,734,594,103,-
97年 9月,6782,4385,2789,3904,2782,5132,550,883,728,1494,648,795,483,1137,193,464,82,621,621,493,68,3
97年 10月,7147,4579,2592,3600,2865,4854,581,868,725,1597,744,841,496,1101,172,575,69,474,656,439,37,1
97年 11月,6297,4435,2345,3451,2468,4607,525,818,443,1401,628,753,430,945,134,467,58,426,569,449,44,2
97年 12月,6265,4166,2541,3272,2430,4953,474,731,426,1241,623,724,435,890,117,419,59,381,697,420,48,6
98年 1月,5906,3804,2792,3715,2357,4073,483,740,761,1383,666,665,427,1001,178,471,80,468,798,490,18,2
98年 2月,5990,4099,2750,3347,2519,5015,562,774,715,1380,686,741,586,1051,185,542,79,577,640,500,13,5
98年 3月,6262,4364,2840,3392,2547,5119,589,803,587,1411,668,675,538,1047,114,533,74,425,543,483,84,2
98年 4月,5870,3998,2461,3259,2367,4794,553,738,527,1247,617,701,526,1117,132,534,68,424,498,470,43,9
98年 5月,5927,4184,2546,2714,2527,4692,505,745,503,1178,558,684,536,1173,117,460,82,416,517,440,32,1
98年 6月,5783,4280,2359,2523,2324,4926,465,662,545,1165,569,693,456,985,115,567,60,360,458,465,32,2
98年 7月,6216,4457,2845,3041,2327,5043,512,766,550,1391,701,739,570,1163,154,562,83,456,526,487,56,2
98年 8月,6286,4454,2731,2790,2278,4964,506,739,586,1271,658,649,518,979,243,595,46,437,507,484,35,3
98年 9月,6308,4050,2380,2725,2133,4632,434,689,500,1384,613,750,530,984,217,586,24,370,488,423,28,1
98年 10月,6337,4167,2462,2811,2130,4932,392,699,482,1240,658,595,524,897,113,556,51,375,409,373,28,9
98年 11月,5975,4388,2145,2976,1949,4650,395,486,489,1274,607,654,509,826,51,523,52,385,529,340,45,6
98年 12月,6103,4229,1984,2497,2092,4680,452,376,301,1237,546,520,486,969,78,508,81,360,551,365,277,-
99年 1月,5640,4342,2038,2719,1996,4545,372,462,546,1129,537,550,423,972,96,485,63,355,508,391,42,3
99年 2月,5797,3633,2843,3412,2274,4798,609,716,836,1708,677,761,679,1563,198,625,115,614,824,432,56,3
99年 3月,5695,4387,2430,3020,2368,5767,465,659,678,1428,651,663,553,1384,141,655,82,506,516,427,47,1
99年 4月,5170,3795,2190,2722,2051,4748,416,645,566,1334,614,604,545,1263,84,546,58,445,468,408,43,3
99年 5月,5757,4019,2291,2729,2205,5487,482,694,427,1492,634,598,540,1175,122,592,86,459,595,417,24,4
99年 6月,5287,3677,2117,2321,1928,5117,467,539,464,1341,633,590,454,1105,148,568,96,457,439,398,47,4
99年 7月,5497,4008,2423,2681,2344,5208,487,613,518,1276,661,646,531,1226,128,525,106,488,449,341,46,4
99年 8月,6034,4160,2454,2537,2621,5656,465,701,579,1463,625,673,558,1122,124,647,97,599,484,500,53,4
99年 9月,5552,3789,2283,2444,2237,5078,441,652,585,1251,576,639,514,980,128,619,89,527,473,365,49,5
99年 10月,5430,3873,2320,2484,2041,5254,461,687,450,1299,603,674,507,1012,126,531,85,446,520,427,53,5
99年 11月,5165,3809,2137,2579,1760,5166,357,447,522,1248,623,617,452,663,109,432,58,226,523,394,27,5
99年 12月,4765,3660,1670,2227,1985,4487,366,312,275,1100,581,621,502,1529,77,528,70,575,471,350,37,9
100年 1月,5997,3872,2304,3027,2199,5359,592,850,866,1343,671,670,511,1135,139,506,94,494,741,403,37,2
100年 2月,4813,3188,2341,2398,1949,4994,452,637,449,1295,568,618,464,1182,185,571,71,513,620,324,42,4
100年 3月,5300,3908,1902,2706,2067,5442,362,610,598,1226,591,647,536,1107,104,520,61,407,499,382,45,4
100年 4月,4967,3659,1886,2460,1969,4566,382,597,525,1009,586,586,542,1055,118,483,85,480,479,352,65,2
100年 5月,5400,3864,1900,2318,2219,4924,397,597,451,1161,579,629,526,882,113,476,66,463,491,386,44,3
100年 6月,5066,3848,1683,2144,2009,4623,360,527,367,986,489,519,473,840,136,420,71,369,443,373,44,5
100年 7月,5908,4191,2335,2379,2398,4890,468,593,521,1256,596,594,525,1126,125,533,68,609,481,355,45,5
100年 8月,5751,3957,2431,2502,2315,4984,526,635,585,1246,588,568,552,930,125,494,106,615,520,415,50,2
100年 9月,5151,3487,2025,2360,2137,4355,412,649,455,1004,576,545,441,825,125,410,83,512,479,358,41,2
100年 10月,5525,3589,1747,2284,2076,4520,425,513,413,1047,570,503,479,834,105,403,86,489,430,371,34,3
100年 11月,5224,3396,1683,2338,1926,4662,387,506,543,1102,545,507,448,878,113,370,75,377,447,304,46,3
100年 12月,4819,3163,1537,2111,1827,4068,368,315,489,932,517,411,458,779,74,371,77,289,427,323,34,5
101年 1月,4805,3176,2242,2684,1858,4125,448,623,895,1170,567,551,420,1192,146,493,87,418,581,353,30,17
101年 2月,4833,3150,2344,2313,2086,4413,401,573,509,977,533,510,470,1128,147,389,65,497,567,335,32,2
101年 3月,5168,3401,1692,2334,2073,4558,433,591,521,1062,530,492,460,1022,120,403,70,482,440,385,37,1
101年 4月,5167,3213,1860,2276,1879,4142,389,589,472,1009,541,488,468,951,153,461,83,525,403,364,43,3
101年 5月,5151,3224,1840,2323,1868,4162,384,581,498,1146,506,565,397,895,126,435,67,478,452,393,52,1
101年 6月,4791,2906,1412,2029,1731,3961,365,470,293,1001,420,337,427,647,90,371,43,448,405,368,38,-
101年 7月,5474,3297,1870,2569,2189,4948,482,655,553,1224,583,600,501,750,106,405,59,515,601,421,64,5
101年 8月,5280,3041,1840,2433,1963,4136,490,516,661,1110,626,629,454,787,121,369,60,494,521,412,43,9
101年 9月,5228,3250,1703,2157,1973,3787,366,553,383,998,477,541,435,703,263,331,66,492,478,353,50,3
101年 10月,5005,3176,1746,2311,1940,3717,439,609,455,957,535,520,499,748,244,396,91,536,430,360,41,9
101年 11月,4721,2943,1530,2550,1773,2977,417,505,482,911,521,528,447,742,251,384,72,463,441,296,35,6
101年 12月,4438,2932,1345,2206,1599,2693,372,421,387,859,458,422,396,617,245,374,60,380,405,297,38,2
102年 1月,4510,3051,1576,2427,1805,2827,413,384,597,930,485,531,334,682,215,437,64,330,446,300,40,3
102年 2月,4709,3088,2241,2774,2210,3751,661,764,905,1280,681,644,547,1083,344,553,81,614,746,402,66,2
102年 3月,4498,2894,1502,2035,1903,3045,427,495,450,960,563,546,413,636,233,361,57,412,390,363,40,4
102年 4月,4043,2708,1491,2047,1720,2749,370,553,355,877,516,494,425,706,228,411,56,388,365,309,41,3
102年 5月,3821,3028,1480,2188,1688,2809,422,561,370,857,514,546,408,808,246,354,59,455,421,352,56,3
102年 6月,3868,3009,1433,2152,1682,2822,363,460,263,868,497,519,433,718,223,402,70,448,415,344,44,5
102年 7月,4430,3506,1821,2366,2071,2972,460,514,407,1084,534,588,475,796,265,411,67,477,538,381,62,5
102年 8月,4583,3492,1698,2466,1999,2586,449,561,432,1095,540,607,505,861,315,477,77,492,542,371,48,3
