date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
109年 6月,490,403,193,230,233,289,88,66,74,164,62,88,83,85,18,66,21,55,69,46,10,3
109年 7月,350,405,171,239,223,330,74,91,74,174,52,98,61,81,21,64,14,46,57,54,10,－
109年 8月,301,430,229,292,255,343,102,76,65,199,58,110,89,96,22,51,13,58,57,55,8,－
109年 9月,261,401,186,300,227,323,94,68,68,192,58,99,69,68,11,57,15,56,46,47,8,－
109年 10月,265,392,220,329,216,312,87,69,76,172,55,89,92,82,21,36,4,53,56,36,5,－
109年 11月,407,482,235,365,306,337,187,65,94,324,67,107,95,89,26,45,15,60,73,55,9,4
109年 12月,451,485,246,350,326,333,141,64,134,280,67,100,107,95,29,59,13,70,50,61,10,－
110年 1月,340,498,171,315,289,364,107,78,64,246,73,108,88,101,17,58,19,64,57,56,13,－
110年 2月,328,354,174,229,244,263,86,58,56,183,78,74,63,74,20,48,11,50,38,45,6,－
110年 3月,434,427,215,335,315,386,94,96,56,172,94,119,71,89,21,67,22,69,62,75,8,－
110年 4月,433,422,187,323,296,307,104,83,66,151,78,113,73,91,17,64,25,74,58,59,8,1
110年 5月,499,453,226,258,332,354,70,99,55,159,59,132,94,131,25,81,12,46,53,59,12,－
110年 6月,358,253,245,199,245,307,97,78,47,109,59,93,60,108,15,58,5,44,65,37,4,1
110年 7月,410,331,219,199,226,284,106,90,52,135,77,112,58,119,21,53,11,50,40,54,12,2
110年 8月,396,399,232,235,267,294,89,97,55,161,66,95,83,130,19,56,8,76,53,47,14,1
110年 9月,367,391,199,276,245,268,93,108,76,175,66,132,82,141,17,54,14,43,40,39,10,1
110年 10月,372,368,215,288,279,294,85,86,68,164,84,113,79,66,16,59,15,49,65,43,8,－
110年 11月,377,339,192,323,257,283,93,101,119,212,81,95,97,57,32,55,13,44,58,63,14,－
110年 12月,429,398,218,360,234,281,87,67,93,222,82,88,75,54,9,52,11,49,78,46,13,－
111年 1月,329,287,143,256,234,258,79,63,61,190,75,83,65,53,22,61,10,40,44,53,5,－
111年 2月,283,316,133,237,238,245,89,51,50,155,44,80,58,55,16,52,7,39,40,43,5,1
111年 3月,364,433,131,323,280,290,107,61,104,218,69,124,75,61,28,52,23,48,51,59,9,－
111年 4月,429,419,196,312,274,351,89,89,172,172,54,135,69,64,50,69,6,72,65,47,8,1
111年 5月,644,394,681,284,335,439,106,190,149,239,96,200,65,83,62,66,14,80,100,44,3,－
111年 6月,440,392,309,178,234,331,73,109,127,174,65,146,70,86,53,57,6,99,42,44,11,1
111年 7月,550,450,409,239,318,325,105,112,111,106,111,200,77,110,39,81,11,111,49,48,10,1
111年 8月,536,454,347,217,273,261,90,86,139,94,73,126,72,110,37,87,9,104,59,48,6,1
111年 9月,468,391,204,267,206,232,68,80,157,171,72,120,55,93,33,79,14,67,38,49,14,－
111年 10月,460,405,352,279,243,275,66,109,132,185,78,103,64,67,21,76,9,57,75,50,11,1
111年 11月,431,390,274,304,265,302,54,134,136,192,70,93,55,54,28,71,6,64,59,62,12,－
111年 12月,490,436,263,375,237,371,65,126,107,191,93,85,89,54,29,64,10,51,111,49,9,－
112年 1月,418,315,184,230,265,216,63,108,76,157,82,82,63,57,22,54,11,41,51,49,5,－
112年 2月,399,338,172,206,280,228,66,92,129,168,82,85,61,61,29,70,12,57,56,56,5,2
112年 3月,471,350,211,295,371,276,88,66,90,213,97,132,92,72,66,101,16,152,165,64,11,－
112年 4月,499,295,141,318,256,281,66,72,123,201,86,87,55,70,21,70,14,62,61,61,9,1
112年 5月,562,377,301,318,420,328,87,72,121,202,83,106,80,90,60,57,20,112,82,85,8,2
112年 6月,523,381,309,227,344,253,86,59,105,193,75,84,78,81,43,54,12,64,54,53,14,－
112年 7月,508,448,240,281,356,292,82,79,111,243,78,111,88,89,49,48,14,80,60,69,7,1
112年 8月,545,441,272,281,317,303,112,70,112,212,75,135,69,107,47,64,11,70,76,74,7,2
112年 9月,498,378,282,320,310,239,71,55,96,150,50,123,66,83,42,66,13,66,60,50,12,4
112年 10月,549,398,262,325,283,378,88,62,88,194,65,115,75,80,40,73,9,83,67,49,13,2
112年 11月,552,429,286,371,312,305,65,64,108,208,88,96,91,48,36,60,9,63,66,46,5,2
112年 12月,507,467,171,321,305,294,61,58,143,199,57,87,57,66,48,73,9,68,81,43,8,－
113年 1月,507,328,153,248,275,238,54,64,122,166,43,77,62,65,39,62,2,57,73,57,8,1
113年 2月,368,294,110,160,217,162,59,45,91,122,58,76,62,68,36,63,11,58,34,32,7,1
113年 3月,425,415,112,215,271,179,63,52,105,171,49,100,66,50,36,62,9,75,91,75,14,－
113年 4月,412,339,126,287,305,225,70,67,110,146,68,103,77,86,38,76,15,85,81,69,12,－
113年 5月,211,259,154,236,296,194,67,55,95,128,69,94,75,78,7,69,18,62,64,56,11,2
113年 6月,255,333,161,237,321,266,70,76,105,161,76,103,75,57,11,54,14,82,87,51,6,1
113年 7月,422,380,143,200,266,209,79,62,108,216,85,127,65,102,10,70,11,87,98,77,7,2
113年 8月,436,390,210,492,335,238,92,78,134,191,88,113,91,148,8,80,13,62,120,57,8,2
113年 9月,1302,585,1158,876,584,1082,167,175,261,337,107,236,91,261,75,160,23,140,251,111,11,－
113年 10月,1332,700,984,973,610,955,211,166,241,361,144,291,80,289,54,149,27,111,229,86,5,2
113年 11月,1251,633,852,831,528,928,167,147,230,347,118,207,88,247,38,168,17,103,239,75,7,－
113年 12月,1154,594,769,911,504,813,132,145,196,320,149,212,83,247,35,179,12,131,189,72,13,－
