date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
100年 12月,237,223,22,5,104,174,29,4,23,27,17,23,20,8,1,10,4,10,24,－,7,－
101年 1月,169,153,10,8,84,123,22,14,11,24,13,15,14,30,1,11,1,9,18,1,2,－
101年 2月,215,210,10,11,89,175,20,18,7,18,11,21,23,12,1,7,－,16,28,2,6,－
101年 3月,244,242,8,28,145,227,37,39,2,30,18,20,34,36,1,15,2,18,25,10,3,－
101年 4月,215,212,4,29,132,241,37,26,－,41,18,19,25,14,－,13,3,23,27,5,2,1
101年 5月,261,224,8,32,152,270,31,27,－,43,15,16,31,9,－,11,2,11,27,5,4,－
101年 6月,196,192,3,25,114,163,27,21,－,34,16,11,20,6,－,6,5,11,15,3,3,－
101年 7月,231,193,9,40,126,243,27,28,1,30,18,18,25,2,1,19,2,16,25,2,4,－
101年 8月,220,190,4,27,124,201,37,24,10,21,19,18,20,7,－,14,3,9,23,6,6,－
101年 9月,223,169,6,28,112,205,29,17,2,10,25,13,18,6,2,21,4,16,30,1,4,1
101年 10月,225,217,6,35,121,183,32,20,10,16,22,11,27,15,2,21,2,12,18,－,8,1
101年 11月,200,192,2,35,129,198,34,29,12,41,19,18,21,13,5,17,7,11,29,4,1,－
101年 12月,190,210,1,50,160,172,28,10,17,32,22,23,33,9,4,14,5,10,17,1,1,－
102年 1月,270,214,9,30,185,184,24,30,27,25,11,12,30,15,3,17,4,16,23,4,4,－
102年 2月,123,153,－,20,105,134,24,16,14,20,13,17,14,5,1,5,1,9,19,－,2,－
102年 3月,242,244,2,50,166,240,36,15,19,38,21,27,14,10,4,17,4,11,22,－,5,－
102年 4月,244,231,2,45,175,242,30,28,9,37,25,16,28,28,2,18,4,14,24,－,5,－
102年 5月,184,231,－,41,185,231,30,17,3,41,24,18,18,32,4,16,6,24,24,1,7,－
102年 6月,213,216,6,35,140,186,21,17,3,28,14,34,24,20,4,15,4,24,30,2,4,－
102年 7月,191,223,3,36,163,186,35,17,9,31,16,32,23,34,2,15,7,18,27,－,1,1
102年 8月,225,231,3,36,174,191,43,24,15,36,15,25,20,31,8,14,4,12,14,1,2,－
102年 9月,176,241,－,39,153,171,30,29,14,33,15,34,21,12,11,18,5,13,26,1,5,－
102年 10月,206,221,7,44,158,188,33,17,12,17,17,40,29,32,3,14,7,17,21,－,1,－
102年 11月,185,206,5,38,142,209,26,23,6,33,23,28,18,39,5,19,3,18,29,－,8,－
102年 12月,229,240,8,40,156,221,34,28,6,30,16,21,29,34,3,24,4,18,26,1,1,－
103年 1月,147,252,6,34,141,167,38,14,7,51,14,31,22,40,2,27,1,20,27,－,3,－
103年 2月,187,180,1,30,140,156,31,22,17,37,15,22,21,18,6,19,1,14,20,－,－,－
103年 3月,247,244,1,46,201,196,27,35,19,40,22,30,38,45,5,13,3,16,24,－,3,－
103年 4月,182,221,4,22,185,189,33,35,22,48,26,26,19,27,8,16,2,25,18,－,11,－
103年 5月,156,233,2,24,215,215,50,16,13,42,31,14,21,25,4,17,3,14,28,－,5,－
103年 6月,182,216,－,15,185,179,35,20,7,41,12,13,31,41,3,24,3,26,30,－,4,－
103年 7月,189,236,8,16,168,204,42,23,4,47,26,18,25,29,4,13,5,19,19,－,7,－
103年 8月,116,216,6,9,147,207,36,18,5,37,18,7,33,22,7,11,6,16,34,－,4,－
103年 9月,142,237,6,23,134,205,37,31,3,34,22,12,18,35,9,22,5,16,22,－,3,－
103年 10月,159,241,7,23,168,202,37,25,13,39,18,20,27,45,8,15,3,28,21,－,5,－
103年 11月,151,259,11,23,146,177,37,18,7,30,9,18,34,42,8,11,4,17,29,1,7,－
