date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
97年 1月,581,368,386,376,236,494,59,86,55,94,126,63,39,78,17,68,9,29,76,63,2,－
97年 2月,406,297,446,483,218,587,68,105,103,112,93,40,81,95,18,74,8,19,45,54,2,－
97年 3月,560,382,376,402,262,495,55,92,57,108,74,38,50,88,12,57,9,16,30,45,10,－
97年 4月,726,386,450,444,265,422,48,119,94,126,78,53,79,88,4,64,11,23,57,35,9,－
97年 5月,864,319,613,367,264,506,83,134,66,107,97,51,124,103,3,65,15,20,40,39,4,－
97年 6月,925,432,634,424,258,494,58,130,121,108,78,49,109,89,2,47,16,18,47,36,－,－
97年 7月,896,386,439,412,273,581,66,156,121,109,105,52,108,116,26,64,9,18,63,40,6,－
97年 8月,903,408,693,485,361,641,69,161,125,132,119,62,99,85,19,63,10,44,71,57,16,－
97年 9月,771,409,622,312,344,639,85,130,133,103,77,73,72,107,21,43,11,27,76,42,15,－
97年 10月,917,391,632,253,313,564,155,142,112,167,115,67,61,75,11,78,9,23,69,47,5,－
97年 11月,709,421,473,225,305,503,104,127,43,152,98,58,66,106,16,63,13,30,49,52,10,－
97年 12月,737,350,605,259,330,614,103,120,58,156,103,60,85,93,12,62,12,37,77,32,16,1
98年 1月,739,345,678,386,235,547,82,153,107,152,117,54,89,106,16,53,21,55,170,54,－,－
98年 2月,760,453,534,310,358,942,124,151,133,199,125,55,136,132,18,78,23,32,108,54,1,1
98年 3月,778,430,636,304,338,776,120,128,74,167,129,62,116,126,14,89,14,57,69,30,19,－
98年 4月,822,317,574,305,313,684,90,125,9,162,119,60,131,168,18,92,19,42,84,51,14,－
98年 5月,860,331,592,102,317,643,72,94,32,172,109,54,86,136,12,61,27,33,73,40,8,－
98年 6月,841,356,538,62,346,633,82,130,110,171,92,66,98,129,24,77,17,37,79,43,6,1
98年 7月,890,394,489,81,307,588,75,123,9,231,124,71,103,142,35,100,16,50,70,55,9,－
98年 8月,848,423,486,71,258,562,70,104,21,194,89,61,85,121,42,102,4,36,52,53,11,－
98年 9月,1029,338,401,69,355,649,70,103,27,264,121,64,97,125,22,95,1,27,50,56,12,－
98年 10月,1004,377,517,93,326,687,79,125,8,248,95,60,98,112,1,95,10,25,37,59,4,1
98年 11月,888,385,424,135,263,593,66,53,4,212,80,65,86,119,－,115,14,30,47,41,9,－
98年 12月,901,295,348,78,277,534,71,40,3,197,93,73,82,117,4,102,7,20,40,41,3,－
99年 1月,1043,348,446,220,294,724,79,98,67,243,114,70,77,149,22,105,20,54,74,57,17,－
99年 2月,823,352,280,228,310,752,91,104,86,253,137,80,115,167,18,95,20,64,175,48,15,1
99年 3月,867,374,616,212,428,1023,86,108,99,312,108,74,110,212,12,128,13,75,55,58,15,－
99年 4月,847,289,371,174,308,594,89,109,84,230,120,54,98,178,6,98,14,56,43,64,5,1
99年 5月,972,397,480,187,333,787,112,120,10,295,85,57,115,179,4,102,19,65,67,53,5,－
99年 6月,831,354,454,191,355,716,89,104,17,229,110,67,83,155,9,96,23,69,47,62,3,－
99年 7月,859,342,475,196,295,655,81,121,22,213,122,74,81,198,9,102,22,70,59,64,15,－
99年 8月,941,423,478,130,358,831,70,132,35,225,105,70,104,181,14,118,18,92,65,81,11,－
99年 9月,958,341,447,165,332,661,72,153,58,246,106,69,98,126,22,124,32,91,85,57,14,－
