date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
98年 10月,268,199,10,21,50,122,10,14,3,39,22,17,35,31,4,45,8,7,10,14,3,1
98年 11月,224,233,12,24,43,118,20,9,2,56,22,17,34,38,3,42,6,7,13,10,4,－
98年 12月,240,208,12,23,68,111,23,4,1,25,18,9,33,30,1,42,4,7,12,11,4,－
99年 1月,221,230,4,42,51,104,22,7,10,54,29,12,19,35,－,39,4,7,12,19,1,－
99年 2月,154,182,3,30,38,82,19,6,3,36,20,10,30,33,2,32,5,8,4,10,4,－
99年 3月,264,250,5,34,75,182,30,25,14,48,38,16,36,36,－,48,10,8,14,12,3,－
99年 4月,228,205,5,32,60,136,18,18,14,45,27,11,35,43,－,35,6,9,15,15,2,－
99年 5月,221,249,9,44,70,151,25,20,－,60,32,14,38,36,4,25,8,12,9,13,5,1
99年 6月,264,216,14,38,52,160,32,19,3,43,33,17,27,32,－,37,5,12,12,19,8,1
99年 7月,264,240,12,48,87,140,19,18,8,39,34,22,31,41,－,41,11,18,19,21,5,－
99年 8月,307,270,12,36,92,160,31,45,12,48,28,32,22,41,－,51,13,16,22,22,5,－
99年 9月,223,202,13,23,92,154,19,37,9,55,44,16,27,28,2,38,6,20,22,20,3,1
99年 10月,232,215,15,30,64,184,26,27,6,33,31,20,32,24,1,46,8,10,16,35,4,2
99年 11月,260,219,8,34,37,192,19,19,5,31,30,17,27,7,1,27,6,4,22,28,－,－
99年 12月,206,238,13,39,86,176,22,11,6,48,29,11,38,51,－,35,9,28,24,20,2,2
100年 1月,242,229,8,35,71,176,16,27,13,41,39,15,42,28,－,27,2,17,14,13,5,－
100年 2月,226,215,7,28,61,134,19,17,11,47,25,16,23,16,2,32,10,15,23,14,5,2
100年 3月,261,217,11,59,85,185,19,33,27,51,27,23,36,30,－,38,5,14,21,12,4,－
100年 4月,230,226,9,56,79,167,18,25,13,36,31,30,27,33,1,38,8,18,27,7,5,－
100年 5月,271,258,15,47,80,213,15,23,6,50,27,38,34,42,－,39,3,24,48,17,4,－
100年 6月,248,255,7,47,95,194,23,20,8,51,25,21,44,19,2,31,9,10,24,12,3,2
100年 7月,255,261,6,28,92,187,24,21,5,59,26,29,30,24,1,49,5,13,22,17,3,2
100年 8月,237,236,5,66,92,185,30,31,6,62,33,24,29,29,2,44,7,15,35,12,5,1
100年 9月,234,244,4,62,86,180,18,35,4,56,31,26,41,22,2,25,5,25,20,17,4,－
100年 10月,287,249,2,65,79,156,19,19,11,61,26,21,34,23,3,40,6,24,26,11,5,－
100年 11月,248,222,16,67,60,183,13,23,14,61,27,22,26,26,1,15,9,11,22,5,3,1
100年 12月,253,181,23,64,51,135,20,12,8,38,38,27,37,13,1,15,7,6,27,7,5,1
101年 1月,197,192,10,47,76,124,10,27,15,28,16,6,14,23,－,27,6,16,10,6,6,1
101年 2月,227,184,5,58,64,172,13,22,11,51,29,13,25,15,1,21,6,25,24,5,4,1
101年 3月,256,222,5,59,72,168,22,40,5,47,28,17,23,32,2,19,6,23,21,20,4,1
101年 4月,251,210,16,72,67,137,18,29,1,47,20,12,33,25,2,28,12,22,21,8,4,－
101年 5月,259,254,17,70,86,200,19,25,4,59,35,22,28,17,1,29,8,19,25,12,6,1
101年 6月,211,176,9,58,67,127,13,22,3,35,27,11,29,9,1,28,5,31,23,7,4,－
101年 7月,273,216,31,65,92,190,28,30,8,65,36,22,37,17,－,22,7,26,19,15,2,1
101年 8月,252,218,19,63,89,160,23,22,18,94,29,22,30,10,2,18,8,21,21,12,4,－
101年 9月,250,235,14,62,80,161,17,15,4,62,31,20,23,10,11,19,8,25,40,10,1,－
101年 10月,268,232,9,71,85,164,33,24,18,38,31,16,30,15,10,29,5,25,23,18,4,1
101年 11月,222,189,11,83,87,172,14,28,23,44,32,18,27,18,14,24,6,20,36,17,4,1
101年 12月,224,218,4,68,82,144,21,18,19,44,20,10,27,10,9,22,8,19,23,17,3,－
102年 1月,233,204,9,59,92,137,22,17,26,47,24,16,21,14,5,28,5,18,27,18,3,1
102年 2月,161,177,1,44,60,99,19,25,23,29,26,12,14,4,6,21,10,21,16,5,5,－
102年 3月,230,225,7,75,85,133,20,23,28,47,34,16,21,18,13,16,8,18,19,10,5,－
102年 4月,208,194,7,79,86,148,18,22,18,52,23,23,32,18,10,22,8,18,27,23,2,－
102年 5月,187,214,7,75,85,140,27,30,6,43,30,22,34,32,14,13,11,22,20,18,3,1
102年 6月,178,222,9,80,84,118,26,26,4,32,30,27,27,12,9,22,12,28,14,23,3,－
102年 7月,177,244,11,67,98,125,26,28,10,48,23,27,33,22,16,14,10,25,44,30,7,2
102年 8月,204,223,6,65,106,131,23,38,13,39,30,23,30,29,18,23,12,19,34,29,3,2
102年 9月,208,214,5,51,111,123,19,21,23,41,23,26,31,32,15,22,9,18,18,17,5,－
102年 10月,214,224,10,68,107,129,19,25,17,54,28,28,23,32,15,14,9,22,29,15,5,2
102年 11月,185,243,4,66,79,125,17,17,11,89,23,24,20,29,9,17,8,14,16,13,3,－
102年 12月,196,225,8,69,93,146,25,24,13,35,32,22,29,33,15,19,6,20,18,22,1,－
103年 1月,157,226,6,73,72,120,24,26,17,52,18,11,20,25,11,20,3,16,13,9,－,1
103年 2月,175,159,3,65,92,123,19,25,11,45,30,12,26,21,4,21,7,18,21,10,3,－
103年 3月,209,239,6,78,102,122,13,29,38,46,25,12,24,44,17,36,5,17,15,14,3,－
103年 4月,127,216,3,58,76,132,18,21,23,36,34,30,17,27,7,24,7,28,27,11,4,－
103年 5月,133,219,6,48,100,115,16,28,12,41,22,19,38,18,3,11,8,24,19,12,3,1
103年 6月,188,196,10,35,113,114,21,33,12,52,34,8,32,26,6,20,5,19,32,7,6,2
103年 7月,160,217,13,54,81,124,29,28,13,51,28,27,29,27,6,26,6,18,27,19,2,2
103年 8月,148,228,6,60,72,120,22,31,9,33,31,16,31,22,13,24,9,23,32,20,1,－
103年 9月,161,200,17,64,90,98,28,29,15,32,21,20,38,23,15,25,9,21,30,22,4,－
103年 10月,151,201,16,65,100,118,27,22,14,30,26,16,39,28,16,25,13,12,31,15,－,－
