
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","總和"
"2023","15","10","7","10","12","16","13","17","11","15","8","13","147"
"2024","11","6","12","17","14","20","15","15","17","19","17","12","175"
"2025","11","12","15","14","15","14","20","9","9","0","--","--","119"
"總和","37","28","34","41","41","50","48","41","37","34","25","25","總和"
