
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","總和"
"2008","11","19","10","15","10","10","9","0","14","4","7","5","114"
"2009","4","8","18","10","3","8","4","6","5","7","13","9","95"
"2010","12","15","10","18","11","15","5","5","8","6","10","4","119"
"2011","16","10","10","7","16","8","11","7","3","6","13","13","120"
"2012","15","16","13","17","12","13","5","10","5","2","13","16","137"
"2013","13","10","13","19","13","8","4","12","8","7","10","14","131"
"總和","71","78","74","86","65","62","38","40","43","32","66","61","總和"
