
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","總和"
"2023","78.9","68.8","139.0","102.4","124.6","133.6","214.2","185.7","201.5","78.8","139.7","81.5","1548.7"
"2024","96.2","106.8","98.4","80.2","106.9","113.8","216.3","193.8","177.0","95.0","42.5","43.8","1370.7"
"2025","96.2","54.8","127.0","111.6","113.6","163.7","141.8","236.2","201.1","43.5","--","--","1289.5"
"總和","271.3","230.4","364.4","294.2","345.1","411.1","572.3","615.7","579.6","217.3","182.2","125.3","總和"
