
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","總和"
"2020","--","6","10","12","11","5","10","11","6","2","5","8","86"
"2021","6","5","8","4","5","16","15","15","8","5","6","5","98"
"2022","13","17","12","8","20","14","7","13","8","5","6","8","131"
"2023","11","7","7","8","10","13","14","16","6","8","0","3","103"
"2024","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2025","--","--","--","--","--","--","--","--","--","--","--","--","--"
"總和","30","35","37","32","46","48","46","55","28","20","17","24","總和"
