
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","總和"
"2008","88.0","127.0","88.0","171.0","191.5","118.5","231.5","0.0","413.5","25.5","70.0","21.5","1546.0"
"2009","18.0","26.0","150.5","80.5","26.0","180.0","100.0","214.0","9.0","49.0","90.0","50.0","993.0"
"2010","92.5","166.0","103.5","136.0","241.0","205.0","13.0","218.0","77.0","55.0","30.0","67.5","1404.5"
"2011","68.0","75.0","88.0","20.5","317.0","198.0","120.0","40.0","7.5","35.0","310.0","79.5","1358.5"
"2012","156.5","175.5","78.0","401.5","257.0","552.5","57.0","294.0","5.0","47.0","316.0","170.5","2510.5"
"2013","69.5","31.0","84.5","279.0","408.0","49.0","118.0","525.5","36.5","7.0","39.0","155.0","1802.0"
"總和","492.5","600.5","592.5","1088.5","1440.5","1303.0","639.5","1291.5","548.5","218.5","855.0","544.0","總和"
