
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","總和"
"2020","--","12.5","108.5","62.0","336.0","73.5","54.5","108.0","16.0","16.5","9.0","61.5","858.0"
"2021","12.5","42.5","40.0","38.5","306.5","557.0","299.5","642.5","82.0","12.5","5.5","56.0","2095.0"
"2022","67.5","190.5","294.5","76.0","670.5","475.0","169.0","238.5","237.5","22.0","27.5","23.5","2492.0"
"2023","15.5","18.5","30.0","429.0","306.0","163.0","140.5","461.5","157.5","52.0","0.0","16.5","1790.0"
"2024","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2025","--","--","--","--","--","--","--","--","--","--","--","--","--"
"總和","95.5","264.0","473.0","605.5","1619.0","1268.5","663.5","1450.5","493.0","103.0","42.0","157.5","總和"
